Title,Genre,DirectedBy,Starring,ProductionBy,FilmType,ReleaseYr,ReleaseMth,Season,RunningTime,Country,Budget,BoxOffice,Accolades,HomeMedia,Keyword
Zero Effect,Comedy,Jake Kasdan,Bill Pullman,unknown,Independent,1998,January,Winter,116, United States ,5000000,2000000,No,No,comedy|1990s|1998|mystery
Zero for Conduct,Drama,Jean Vigo,unknown,unknown,Independent,1933,April,Spring,41,France,200000,2000000,Yes,No,french|comedy|drama|school|set
Zero Hour!,,Hall Bartlett,unknown,unknown,Independent,1957,November,Fall,81, United States ,650000,2000000,No,No,1950s|aviation|disaster|set
Zero Kelvin (film),Drama,Hans Petter Moland,Stellan Skarsgård,unknown,Independent,1995,unknown,unknown,118,Norway,650000,2500000,No,No,drama|norwegian|set|1920s
Zero Tolerance (1995 film),Action,Joseph Merhi,unknown,unknown,Independent,1994,November,Fall,88, United States ,650000,2500000,No,No,action|1990s|1994|1995
.45 (film),Thriller,Gary Lennon,unknown,unknown,Independent,2006,November,Fall,101, United States ,5000000,2500000,No,No,2000s|thriller|2006|crime
"The $1,000,000 Reward",Drama,George Lessey,unknown,unknown,Independent,1920,January,Winter,15, United States ,5000000,2500000,No,No,drama|1920|lost|silent
One Hundred and One Dalmatians,Adventure,Wolfgang Reitherman,Rod Taylor,unknown,Independent,1961,January,Winter,79, United States ,3600000,303000000,No,Yes,animated|adventure|1960s|adapted
One Hundred Men and a Girl,Comedy,Henry Koster,unknown,unknown,Independent,1937,September,Fall,85, United States ,733000,2270200,Yes,No,comedy|musical|1930s|1937
One Day (2011 film),Drama,Lone Scherfig,Anne Hathaway,Random House Films,Independent,2011,August,Summer,108, United States United Kingdom,15000000,56700000,No,No,set|drama|shot|2011
One False Move,Crime,Carl Franklin,Bill Paxton,unknown,Independent,1992,May,Spring,105, United States ,15000000,1500000,No,No,set|angeles|arkansas|crime
One Fine Day (film),Drama,Michael Hoffman,Michelle Pfeiffer,unknown,Independent,1996,December,Winter,108, United States ,15000000,97500000,Yes,No,city|comedy|drama|new|romantic
Day One (1989 film),,Joseph Sargent,unknown,unknown,Independent,unknown,Release,unknown,145, United States ,15000000,97500000,No,No,atomic|bombings|hiroshima|television
One Flew Over the Cuckoo's Nest (film),,Miloš Forman,Jack Nicholson,unknown,Independent,1975,November,Fall,133, United States ,3000000,163250000,Yes,No,best|academy|award|director
One Hour Photo,,Mark Romanek,unknown,unknown,Independent,2002,January,Winter,96, United States ,12000000,52200000,Yes,No,2000s|psychological|set|2002
One More Time (1970 film),Comedy,Jerry Lewis,unknown,unknown,Independent,1970,unknown,unknown,92, United States ,422816,8000000,No,Yes,comedy|1970s|buddy|1970
One Night with the King,,unknown,unknown,unknown,Independent,2006,October,Fall,123, United States ,20000000,13700000,No,No,based|depictions|set|2006
One Night of Love,,Victor Schertzinger,unknown,unknown,Independent,1934,September,Fall,83, United States ,20000000,733150,Yes,No,academy|award|best|musical
The 1 Second Film,Short,Nirvan Mullick,unknown,unknown,Independent,unkown,unknown,unknown,1, United States ,1000000,733150,No,No,animated|documentary|english|short
"One, Two, Three",Comedy,Billy Wilder,unknown,unknown,Independent,1961,December,Winter,104, United States ,3000000,4000000,Yes,No,shot|berlin|billy|comedy
One Way Passage,Drama,Tay Garnett,unknown,unknown,Independent,1932,September,Fall,68, United States ,350000,1108000,Yes,No,drama|produced|romantic|1930s
One Week (1920 film),Comedy,Edward F. Cline,unknown,unknown,Independent,1920,September,Fall,19, United States ,350000,1108000,No,No,buster|comedy|keaton|silent
One Week (2008 film),,Michael McGowan,unknown,unknown,Independent,2008,September,Fall,94,Canada,2000000,488697,No,No,shot|canadian|road|2008
One of Our Dinosaurs Is Missing,Comedy,Robert Stevenson,unknown,unknown,Independent,1975,July,Summer,100,United Kingdom United States ,2000000,5500000,No,No,set|1970s|british|comedy
10 (film),Comedy,Blake Edwards,unknown,unknown,Independent,1979,October,Fall,122, United States ,7000000,74800000,Yes,No,comedy|sex|1970s|blake
The Ten Commandments: The Movie,,Sérgio Marone,unknown,unknown,Independent,2016,January,Winter,120,Brazil,7000000,30000000,No,No,2016|based|brazilian|series
10 Things I Hate About You,Comedy,Gil Junger,Julia Stiles,unknown,Independent,1999,March,Spring,99,  United States ,16000000,53500000,Yes,No,1990s|teen|comedy|comingage
10 to Midnight,Crime,J. Lee Thompson,Charles Bronson,unknown,Independent,1983,March,Spring,101, United States ,4520000,7175592,No,No,1980s|crime|killer|police
10 Years (2011 film),Drama,Jamie Linden,Channing Tatum,Temple Hill Entertainment,Independent,2011,September,Fall,101, United States ,4520000,203373,No,No,shot|comedy|drama|new|romantic
Ten Years (2015 film),,35th Hong Kong Film Awards,Liu Kai-chi,unknown,Independent,2015,December,Winter,104,Hong Kong,600000,6000000,Yes,No,2015|independent|kong|2025hong
In the Middle of the City,,unknown,unknown,unknown,Independent,unknown,Release,unknown,0.45, Georgia,600000,6000000,No,No,georgia|television|series|country
"10,000 BC (film)",Action,Roland Emmerich,Steven Strait,unknown,Independent,2008,March,Spring,109, United States ,105000000,269800000,No,Yes,adventure|shot|2000s|action
100 Bloody Acres,Horror,Best Supporting Actor,unknown,unknown,Independent,2012,August,Summer,90,unknown,105000000,6388,Yes,No,australian|comedy|horror|2010s
100 Days with Mr. Arrogant,Romance,Shin Jai-ho,unknown,unknown,Independent,2004,January,Winter,95,South Korea,105000000,6388,No,No,korean|comedy|romantic|south
100 Feet,Horror,Eric Red,unknown,unknown,Independent,2008,August,Summer,105, United States ,105000000,6388,No,No,2008|horror|asylum|budapest
100 Rifles,Western,Tom Gries,Jim Brown,unknown,Independent,1969,March,Spring,110, United States ,3920000,3500000,No,No,genre|western|african|based
101 Rent Boys,Documentary,Fenton Bailey,unknown,unknown,Independent,2000,June,Summer,78, United States ,75000000,320700000,No,No,documentary|2000|lgbt||angelesgay
