Title,DirectedBy,ProducedBy,Starring,ProductionBy,DistributedBy,Released,RunningTime,Country,Budget,BoxOffice
,,,,,,,,,,
Zero Day (film),BennullCoccio,,AndrenullKeuck,,,"September 3, 2003 (2003-09-03)",92null,UnitednullStates,"$20,000","$8,466"
Zero Effect,JakenullKasdan,Lisa Henson,BillnullPullman,,ColumbianullPictures,"January 30, 1998 (1998-01-30)",116null,UnitednullStates,$5nullmillion,
Zero for Conduct,JeannullVigo,,,,GaumontnullFilmnullCompany,7nullAprilnull1933,41null,France,"?200,000",
Zero Hour!,HallnullBartlett,,,,,"November 13, 1957 (1957-11-13)",81null,UnitednullStates,,
Zero Kelvin (film),HansnullPetternullMoland,,StellannullSkarsgård,,,1995,118nullnull(113nullnullinnullUSA),Norway,,$2.5nullmillion
Zero Tolerance (1995 film),JosephnullMerhi,,,,PMnullEntertainmentnullGroupnullInc.,"November 21, 1994 (1994-11-21)",88null.,UnitednullStates,,
.45 (film),GarynullLennon,,,,,"November 30, 2006 (2006-11-30)null(Greece)
April 27, 2007 (2007-04-27)null(UnitednullStates)",101null,UnitednullStates,"$5,000,000",
"The $1,000,000 Reward",GeorgenullLessey,,,,,January 1920 (1920-01),15nullepisodes,UnitednullStates,,
One Hundred and One Dalmatians,WolfgangnullReitherman,,RodnullTaylor,,BuenanullVistanullPicturesnullDistribution,"January 25, 1961 (1961-01-25)",79null,UnitednullStates,$3.6nullmillion[1],
One Hundred Men and a Girl,HenrynullKoster,Joe Pasternak,,,,"September 5, 1937 (1937-09-05)null(USA)",85null,UnitednullStates,,
One A.M. (1916 film),HisnullNewnullJob,,,,MutualnullFilmnullCorporation,"August 7, 1916 (1916-08-07)",2nullReelsnull(fullnulllengthnullunknown)c.null34nulls.,UnitednullStates,,
One Day (2011 film),LonenullScherfig,,AnnenullHathaway,RandomnullHousenullFilms,FocusnullFeatures,"8 August 2011 (2011-08-08)null(NewnullYorknullCitynullpremiere)
19 August 2011 (2011-08-19)null(UnitednullStates)
24 August 2011 (2011-08-24)null(UnitednullKingdom)",108null,"
UnitednullStates
UnitednullKingdom",,
One False Move,CarlnullFranklin,Ben Myron,BillnullPaxton,,I.R.S.nullReleasing,"May 8, 1992 (1992-05-08)",105null,UnitednullStates,,$1.5nullmillion
One Fine Day (film),MichaelnullHoffman,,MichellenullPfeiffer,,20thnullCenturynullFox,"December 20, 1996 (1996-12-20)",108null,UnitednullStates,,$97.5nullmillion
Day One (1989 film),JosephnullSargent,,,,,,145nulls.,nullofnulloriginUnitednullStates,,
One Flew Over the Cuckoo's Nest (film),MilošnullForman,Saul Zaentz,JacknullNicholson,,UnitednullArtists,"November 19, 1975 (1975-11-19)",133null,UnitednullStates,,
One Hour Photo,MarknullRomanek,Christine Vachon,RobinnullWilliams,KillernullFilms,FoxnullSearchlightnullPictures,"January 13, 2002 (2002-01-13)null(Sundance)
August 21, 2002 (2002-08-21)null(UnitednullStates)",96null,UnitednullStates,$12nullmillion[1],
One Million Years B.C.,DonnullChaffey,,RaquelnullWelch,,"Warner-PathénullDistributors,nullLtd.",30 December 1966 (1966-12-30),100nullnull(UnitednullKingdom)91nullnull(UnitednullStates),UnitednullKingdom,"£422,816",
One More Time (1970 film),JerrynullLewis,,,,UnitednullArtists,1970 (1970),92null,UnitednullStates,,
One Night with the King,,,,,20thnullCenturynullFox,"October 13, 2006 (2006-10-13)",123null,UnitednullStates,,
One Night of Love,VictornullSchertzinger,,,,ColumbianullPictures,"September 5, 1934 (1934-09-05)",83null,UnitednullStates,,"$733,150"
The 1 Second Film,NirvannullMullick,,,,,,1nullsecondnull(61nullnullofnullcredits),UnitednullStates,US$1nullmillionnull(intended),
"One, Two, Three",BillynullWilder,,,,UnitednullArtists,"December 15, 1961 (1961-12-15)null(UnitednullStates)",104null[1],UnitednullStates,,
One Way Passage,TaynullGarnett,,,,WarnernullBros.,September 1932 (1932-09),68null,UnitednullStates,"$350,000",
One Week (1920 film),EdwardnullF.nullCline,,,,MetronullPictures,"September 1, 1920 (1920-09-01)[1]",19null,UnitednullStates,,
One Week (2008 film),MichaelnullMcGowan,,,,MongrelnullMedia,"September 8, 2008 (2008-09-08)null(TIFF)
March 6, 2009 (2009-03-06)",94null,Canada,$2nullmillionnull,"$488,697"
One of Our Dinosaurs Is Missing,RobertnullStevenson,,,,BuenanullVistanullDistribution,"July 9, 1975 (1975-07-09)",100null,UnitednullKingdomUnitednullStates,,
10 (film),BlakenullEdwards,,,,WarnernullBros.,"October 5, 1979 (1979-10-05)",122null,UnitednullStates,$7nullmillion,
The Ten Commandments: The Movie,SérgionullMarone,,,,LarissanullMaciel,28 January 2016 (2016-01-28),120null,Brazil,,R$116.4 million($36.4nullmillion)
10 Cloverfield Lane,DannullTrachtenberg,J. J. Abrams,MarynullElizabethnullWinstead,,ParamountnullPictures,"March 8, 2016 (2016-03-08)null(NewnullYorknullCity)
March 11, 2016 (2016-03-11)null(UnitednullStates)",104null[1],UnitednullStates,,
10 Items or Less (film),BradnullSilberling,,,,THINKFilm,"September 11, 2006 (2006-09-11)null(TIFF)
December 1, 2006 (2006-12-01)null(UnitednullStates)",82null,UnitednullStates,,"$1,399,222"
Ten Little Indians (1965 film),GeorgenullPollock,,,,Warner-Pathé,Junenull1965,91null,UnitednullKingdom,,
Ten Little Indians (1989 film),,,DonaldnullPleasence,,CannonnullFilms,1989 (1989)null(U.S.),98null,UnitednullKingdom,,"$59,405"
10 Rillington Place,RichardnullFleischer,,,,ColumbianullPictures,28 January 1971 (1971-01-28)null(UK),111null,UnitednullKingdom,,
10 Rules for Sleeping Around,,Harry Basil,JessenullBradford,,ScreennullMedianullFilms,"August 13, 2013 (2013-08-13)null(Netherlands)
April 4, 2014 (2014-04-04)",94null,UnitednullStates,,
10 Things I Hate About You,GilnullJunger,,JulianullStiles,,BuenanullVistanullPictures,"March 31, 1999 (1999-03-31)",99null,,US$16nullmillion,US$53.5nullmillion
10 to Midnight,J.nullLeenullThompson,,CharlesnullBronson,,CannonnullFilms,"March 11, 1983 (1983-03-11)null(UnitednullStates)",101null,UnitednullStates,"$4,520,000null(US)",
10 Years (2011 film),JamienullLinden,Reid Carolin,ChanningnullTatum,TemplenullHillnullEntertainment,AnchornullBaynullFilms,"September 12, 2011 (2011-09-12)null(TIFF)
September 14, 2012 (2012-09-14)null(UnitednullStates)",101null,UnitednullStates,,"$203,373"
Ten Years (2015 film),35thnullHongnullKongnullFilmnullAwards,,LiunullKai-chi,,,17 December 2015 (2015-12-17)null(HongnullKong),104null,HongnullKong,"HK$600,000",HK$6nullmillion
In the Middle of the City,,,,,,Release,approx.null45nullnull(pernullepisode),nullofnullorigin Georgia,,
"10,000 BC (film)",RolandnullEmmerich,,StevennullStrait,,WarnernullBros.nullPictures,7 March 2008 (2008-03-07),109null,UnitednullStates,$105nullmillion,
100 Bloody Acres,BestnullSupportingnullActor,,,,,4 August 2012 (2012-08-04)null(MIFF)[1],90null,,,"$6,388null(US)[2]"
100 Days with Mr. Arrogant,ShinnullJai-ho,,,,CinemanullService,"January 16, 2004 (2004-01-16)",95null,,,
100 Feet,EricnullRed,,,,VoltagenullPictures,"August 14, 2008 (2008-08-14)null(HamburgnullFantasynullFilmfest)",105null.,UnitednullStates,,
100 Rifles,TomnullGries,,JimnullBrown,,20thnullCenturynullFox,"March 26, 1969 (1969-03-26)",110null,UnitednullStates,,
101 Dalmatians (1996 film),StephennullHerek,John Hughes,GlennnullClose,WaltnullDisneynullPictures,BuenanullVistanullPicturesnullDistribution,"November 27, 1996 (1996-11-27)",103null[3],UnitednullStates,,
101 Rent Boys,FentonnullBailey,,,,StrandnullReleasing,"June 7, 2000 (2000-06-07)null(SannullFrancisconullInternationalnullLesbiannullandnullGaynullFilmnullFestival)",78null,UnitednullStates,,
101 Reykjavík,BaltasarnullKormákur,,,,101nullLimited,"June 1, 2000 (2000-06-01)",88null,Iceland,,"$126,404"
102 Dalmatians,KevinnullLima,,,WaltnullDisneynullPictures,BuenanullVistanullPictures,"November 22, 2000 (2000-11-22)",100null,UnitednullStates,,
108 Demon Kings,,,,,,"4 December 2014 (2014-12-04)null(ForumnulldesnullImages)
21 January 2015 (2015-01-21)null(France)",104null,FranceBelgiumLuxembourg,$11.4nullmillionnull[1],
10000 Years Later,,,,,,"March 27, 2015 (2015-03-27)",93null,China,,CN¥27.7nullmillionnull(China)
10th & Wolf,RobertnullMoresco,,,,THINKFilm,"April 21, 2006 (2006-04-21)null(PBIFF)
August 18, 2006 (2006-08-18)null(UnitednullStates)",110null,UnitednullStates,$8nullMio.,"$143,451"
The 10th Kingdom,DavidnullCarson,,,,,Release,"417null
nullnullnullnullnullnullnullnullnullnullnullnullnullnullnullnullnull=null390nullnull(Edited)",nullofnulloriginUnitednullStates,"$44,000,000",
The 10th Victim,ElionullPetri,,MarcellonullMastroianni,[1],[2],"Decembernull3,null1965[3]",92null,"
Italy
France[1]",,
10½,DanielnullGrou,,,,,"October 13, 2010 (2010-10-13)null(FestivalnulldunullNouveaunullCinéma)
October 29, 2010 (2010-10-29)null(Quebec)",108null,Canada,CADnull$3.9nullmillion,
11-11-11 (film),DarrennullLynnnullBousman,,,,EpicnullPicturesnullGroup,"November 11, 2011 (2011-11-11)",90null,UnitednullStatesSpain,,$5.7nullmillionnull
11:14,GregnullMarcks,,RachaelnullLeighnullCook,,NewnullLinenullCinema,"May 16, 2003 (2003-05-16)",86null,UnitednullStatesCanada,$6nullmillion,
The 11th Hour (2007 film),Thenull11thnullHour,,,,WarnernullIndependentnullPictures,"May 19, 2007 (2007-05-19)null(CannesnullFilmnullFestival)
August 17, 2007 (2007-08-17)",92null[1],UnitednullStates,,"$985,207[2]"
12 (2003 film),LawrencenullBridges,,,,,2003 (2003),124null,,,
12 (2007 film),NikitanullMikhalkov,,,,TriTe,"7 September 2007 (2007-09-07)null(Venice)
20 September 2007 (2007-09-20)",159null,Russia,$2.5nullmillion,
12 Angry Men (1957 film),SidneynullLumet,Henry Fonda,LeenullJ.nullCobb,,UnitednullArtists,"April 10, 1957 (1957-04-10)null(FoxnullWilshirenullTheater)[1][2]",96 ,UnitednullStates,"$337,000[4]",
12 Angry Men (1997 film),WilliamnullFriedkin,,,,,,117null,nullofnulloriginUnitednullStates,,
12 Citizens,12nullAngrynullLebanese:nullThenullDocumentary,,,,,"October 19, 2014 (2014-10-19)null(Rome)
May 15, 2015 (2015-05-15)null(China)",106null,China,,CN¥2.07nullmillionnull(China)
12 Men of Christmas,ArlenenullSanford,,,,,Release,95null,nullofnulloriginUnitednullStates,,
Television film,,,,,,,,,,
12 Monkeys,TerrynullGilliam,,BrucenullWillis,AtlasnullEntertainment,UniversalnullPictures,"December 29, 1995 (1995-12-29)null(UnitednullStates)",129null[1],UnitednullStates,,
