Response,Coverage,Education,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size,Scored Label Mean,Scored Label Standard Deviation
No,Basic,Bachelor,Employed,M,25860,Suburban,Married,72,12,46,0,1,Personal Auto,Personal L3,Offer2,Web,346,Four-Door Car,Medsize,18.75,3.307189148
Yes,Basic,College,Medical Leave,F,25370,Suburban,Married,102,10,77,0,2,Corporate Auto,Corporate L1,Offer1,Branch,490,Sports Car,Large,80.83333333,3.004626077
No,Extended,High School or Below,Employed,M,35257,Suburban,Divorced,98,16,2,1,8,Corporate Auto,Corporate L2,Offer2,Web,470,Four-Door Car,Small,60,0.000273861
Yes,Basic,Master,Employed,F,79487,Suburban,Divorced,114,20,87,0,1,Corporate Auto,Corporate L2,Offer2,Branch,547,SUV,Medsize,30,0.000256174
No,Extended,College,Employed,M,44698,Suburban,Married,211,0,88,4,1,Personal Auto,Personal L2,Offer1,Call Center,1013,Luxury Car,Medsize,71.04166667,8.076779995
No,Basic,High School or Below,Employed,M,75650,Rural,Married,71,24,53,0,8,Corporate Auto,Corporate L2,Offer4,Agent,105,Four-Door Car,Medsize,50,0.000262202
No,Basic,Bachelor,Employed,F,56550,Rural,Married,73,22,41,3,2,Corporate Auto,Corporate L1,Offer3,Agent,163,Four-Door Car,Medsize,68.95833333,9.644280837
No,Extended,College,Medical Leave,M,23830,Suburban,Married,76,24,22,1,1,Corporate Auto,Corporate L3,Offer4,Web,365,Two-Door Car,Medsize,19.375,2.997394713
No,Basic,Bachelor,Unemployed,M,0,Suburban,Single,116,20,9,2,6,Personal Auto,Personal L3,Offer2,Branch,835,Sports Car,Medsize,66.25,4.84122919
No,Extended,Doctor,Employed,F,66889,Urban,Married,80,6,16,0,1,Personal Auto,Personal L1,Offer2,Call Center,294,Four-Door Car,Small,20,0.000262202
No,Basic,Master,Employed,M,41991,Rural,Single,67,14,75,0,3,Personal Auto,Personal L2,Offer1,Call Center,88,Four-Door Car,Large,43.75,4.84122919
No,Premium,Bachelor,Employed,M,87502,Urban,Married,102,20,28,0,2,Personal Auto,Personal L3,Offer2,Branch,421,Four-Door Car,Medsize,85.20833333,5.428672599
No,Extended,Bachelor,Unemployed,F,0,Suburban,Single,136,8,2,0,1,Personal Auto,Personal L2,Offer1,Branch,979,SUV,Small,38.33333333,3.908679807
No,Basic,Bachelor,Employed,M,61225,Urban,Married,117,3,0,0,2,Personal Auto,Personal L3,Offer2,Call Center,442,SUV,Small,82.5,4.330127026
No,Basic,High School or Below,Unemployed,M,0,Suburban,Single,199,6,37,0,1,Personal Auto,Personal L1,Offer4,Call Center,955,Luxury SUV,Medsize,59.58333333,4.695594868
Yes,Basic,Bachelor,Employed,F,62902,Rural,Married,69,14,94,0,2,Personal Auto,Personal L3,Offer2,Web,159,Two-Door Car,Medsize,71.66666667,7.546154285
No,Basic,Bachelor,Employed,F,66991,Urban,Married,115,1,71,0,1,Personal Auto,Personal L3,Offer2,Branch,400,SUV,Medsize,31.25,3.307189151
No,Basic,High School or Below,Disabled,F,25030,Suburban,Married,113,16,97,4,1,Personal Auto,Personal L3,Offer2,Branch,542,Sports Car,Medsize,30,0.000285044
Yes,Premium,High School or Below,Employed,M,55687,Suburban,Divorced,276,33,91,0,1,Personal Auto,Personal L3,Offer1,Agent,1325,Luxury SUV,Medsize,78.75,3.307189148
Yes,Extended,College,Retired,M,23091,Suburban,Married,96,28,90,5,5,Corporate Auto,Corporate L1,Offer1,Agent,461,Four-Door Car,Medsize,50.20833333,1.545041374
No,Basic,High School or Below,Unemployed,F,0,Suburban,Married,198,18,55,1,1,Personal Auto,Personal L3,Offer1,Branch,1578,Luxury Car,Small,55.41666667,5.877806664
Yes,Basic,College,Medical Leave,M,22520,Suburban,Married,73,17,64,0,3,Personal Auto,Personal L3,Offer1,Branch,350,Four-Door Car,Medsize,48.75,3.307189151
No,Basic,High School or Below,Unemployed,M,0,Suburban,Single,63,6,58,0,2,Personal Auto,Personal L3,Offer1,Branch,454,Four-Door Car,Small,65.83333333,12.27576656
No,Premium,College,Employed,M,71982,Suburban,Single,103,29,37,0,4,Corporate Auto,Corporate L2,Offer3,Call Center,494,Four-Door Car,Small,70,5.000000009
No,Basic,Bachelor,Employed,M,86657,Urban,Married,103,22,51,0,1,Personal Auto,Personal L3,Offer3,Web,316,Sports Car,Small,30,0.000241523
No,Basic,Bachelor,Employed,M,86933,Urban,Married,63,3,64,0,1,Corporate Auto,Corporate L3,Offer3,Agent,270,Two-Door Car,Large,10,0.00025
Yes,Extended,College,Employed,M,58414,Suburban,Single,210,7,24,2,1,Personal Auto,Personal L1,Offer2,Agent,1008,Luxury SUV,Small,60,0.000239356
Yes,Basic,College,Unemployed,M,0,Suburban,Single,70,24,10,0,1,Personal Auto,Personal L2,Offer1,Branch,425,Four-Door Car,Medsize,10,0.000262202
No,Basic,High School or Below,Unemployed,F,0,Suburban,Single,74,13,68,0,1,Personal Auto,Personal L1,Offer2,Call Center,355,Four-Door Car,Small,11.875,4.284784134
No,Extended,Bachelor,Unemployed,F,0,Suburban,Single,83,17,30,0,1,Personal Auto,Personal L2,Offer4,Web,825,Two-Door Car,Medsize,20,0.000292261
No,Basic,High School or Below,Employed,M,23671,Suburban,Divorced,69,32,45,0,2,Personal Auto,Personal L3,Offer1,Branch,331,Four-Door Car,Medsize,70.625,10.43955818
No,Extended,Bachelor,Unemployed,M,0,Suburban,Single,79,6,55,0,1,Personal Auto,Personal L3,Offer1,Agent,379,Four-Door Car,Medsize,20,0.000306186
No,Basic,High School or Below,Employed,F,60909,Urban,Married,112,8,94,0,5,Personal Auto,Personal L2,Offer3,Agent,412,SUV,Small,70,0.000295805
No,Basic,Bachelor,Unemployed,M,0,Suburban,Single,71,24,32,0,1,Corporate Auto,Corporate L3,Offer2,Web,511,Four-Door Car,Large,10.625,2.997394716
Yes,Premium,College,Employed,M,88340,Suburban,Married,102,16,1,0,2,Personal Auto,Personal L3,Offer1,Branch,490,Two-Door Car,Medsize,80,0.000247909
No,Extended,High School or Below,Unemployed,M,0,Suburban,Single,90,16,66,2,6,Personal Auto,Personal L1,Offer2,Agent,648,Four-Door Car,Medsize,49.27083333,5.643295867
No,Basic,College,Employed,M,26334,Suburban,Married,63,3,73,2,2,Corporate Auto,Corporate L1,Offer2,Branch,454,Two-Door Car,Small,66.25,14.08678459
No,Basic,College,Employed,F,69600,Urban,Married,74,35,28,0,1,Personal Auto,Personal L1,Offer2,Web,341,Four-Door Car,Small,20,0.000252075
No,Basic,College,Employed,F,48990,Suburban,Married,74,3,20,0,2,Personal Auto,Personal L3,Offer2,Web,355,Four-Door Car,Medsize,78.125,8.992184111
No,Extended,High School or Below,Medical Leave,M,23051,Suburban,Divorced,99,31,86,0,1,Personal Auto,Personal L1,Offer1,Agent,475,Two-Door Car,Medsize,30,21.85812842
No,Basic,Bachelor,Employed,M,50648,Suburban,Married,69,27,50,1,9,Personal Auto,Personal L3,Offer1,Call Center,331,Two-Door Car,Medsize,45,5.000000007
No,Basic,Bachelor,Employed,M,36913,Rural,Married,62,22,37,0,9,Personal Auto,Personal L1,Offer2,Branch,91,Four-Door Car,Medsize,40,0.000258199
No,Extended,College,Unemployed,F,0,Suburban,Single,238,29,90,1,4,Personal Auto,Personal L3,Offer2,Call Center,1142,Luxury Car,Large,85,5.000000007
Yes,Premium,Master,Employed,M,60880,Rural,Married,119,25,89,0,2,Corporate Auto,Corporate L2,Offer1,Agent,110,Two-Door Car,Medsize,80,0.000222048
No,Premium,Bachelor,Employed,M,25708,Suburban,Divorced,118,21,44,0,2,Personal Auto,Personal L1,Offer1,Branch,566,Four-Door Car,Small,82.29166667,4.709439407
No,Extended,High School or Below,Employed,F,70610,Rural,Single,99,2,11,0,3,Personal Auto,Personal L1,Offer4,Agent,241,Four-Door Car,Large,60,0.000273861
Yes,Extended,Bachelor,Unemployed,F,0,Suburban,Divorced,139,5,56,0,2,Corporate Auto,Corporate L2,Offer1,Call Center,667,SUV,Medsize,90,0.000243671
No,Basic,High School or Below,Employed,M,50941,Suburban,Single,69,17,46,0,2,Personal Auto,Personal L2,Offer4,Agent,331,Four-Door Car,Small,75,9.68245837
No,Basic,Bachelor,Employed,M,65795,Rural,Single,62,2,85,1,3,Corporate Auto,Corporate L3,Offer3,Call Center,49,Two-Door Car,Medsize,40,0.000270031
No,Extended,Bachelor,Employed,F,92914,Suburban,Married,136,24,55,0,8,Personal Auto,Personal L1,Offer1,Agent,979,Sports Car,Large,80,0.000262203
No,Extended,High School or Below,Employed,M,84306,Suburban,Married,137,16,37,0,2,Personal Auto,Personal L3,Offer2,Agent,863,SUV,Large,90,0.000281365
No,Basic,Bachelor,Employed,F,25634,Rural,Married,67,12,53,0,2,Personal Auto,Personal L2,Offer4,Call Center,145,Four-Door Car,Medsize,70,10
No,Extended,College,Employed,F,96506,Urban,Married,124,4,22,0,3,Corporate Auto,Corporate L3,Offer3,Agent,505,SUV,Medsize,80,0.00027839
No,Basic,Master,Unemployed,F,0,Urban,Single,61,7,71,3,9,Personal Auto,Personal L2,Offer1,Web,209,Two-Door Car,Medsize,31.66666667,3.908679809
No,Basic,College,Unemployed,F,0,Suburban,Single,68,5,72,1,3,Personal Auto,Personal L3,Offer1,Branch,326,Four-Door Car,Large,31.875,6.584783601
No,Extended,Bachelor,Employed,F,72661,Suburban,Married,83,17,21,1,4,Personal Auto,Personal L3,Offer1,Branch,398,Four-Door Car,Small,54.16666667,5.335936871
Yes,Basic,High School or Below,Unemployed,M,0,Suburban,Married,73,17,44,0,7,Personal Auto,Personal L3,Offer2,Call Center,496,Two-Door Car,Medsize,40,0.000281366
No,Extended,Bachelor,Employed,M,43987,Suburban,Married,96,29,17,0,1,Personal Auto,Personal L3,Offer2,Call Center,461,Four-Door Car,Medsize,30,0.000295804
No,Extended,High School or Below,Employed,F,32948,Suburban,Single,127,20,46,1,2,Personal Auto,Personal L2,Offer1,Call Center,1429,SUV,Medsize,88.125,4.284784135
No,Basic,High School or Below,Unemployed,M,0,Suburban,Single,62,13,21,0,8,Corporate Auto,Corporate L2,Offer2,Call Center,446,Four-Door Car,Medsize,30.41666667,2.319901831
No,Premium,Bachelor,Medical Leave,F,23675,Suburban,Married,117,4,31,0,7,Personal Auto,Personal L2,Offer1,Branch,708,Four-Door Car,Medsize,70,4.33012703
No,Basic,High School or Below,Employed,F,22236,Suburban,Single,62,3,45,0,4,Personal Auto,Personal L2,Offer1,Agent,409,Two-Door Car,Medsize,39.16666667,4.166666674
No,Basic,College,Unemployed,M,0,Suburban,Single,101,24,11,0,1,Personal Auto,Personal L3,Offer4,Web,727,SUV,Medsize,21.25,3.307189149
No,Premium,Bachelor,Employed,M,99368,Rural,Married,113,34,6,0,3,Personal Auto,Personal L3,Offer1,Web,82,Four-Door Car,Medsize,71.77083333,4.091774871
No,Extended,College,Employed,F,86036,Suburban,Divorced,90,8,20,3,2,Personal Auto,Personal L3,Offer1,Web,501,Four-Door Car,Medsize,75.9375,14.46642125
No,Extended,College,Employed,M,68025,Suburban,Divorced,91,15,17,0,2,Personal Auto,Personal L2,Offer1,Branch,437,Four-Door Car,Medsize,81.875,4.284784134
No,Premium,Master,Employed,F,70734,Suburban,Married,175,4,35,0,2,Corporate Auto,Corporate L2,Offer1,Branch,1200,SUV,Medsize,90,0.000292262
No,Basic,Bachelor,Unemployed,F,0,Suburban,Single,65,0,51,0,1,Corporate Auto,Corporate L3,Offer3,Agent,312,Four-Door Car,Large,10,0.000292261
No,Basic,College,Employed,F,32017,Suburban,Married,62,9,10,2,7,Personal Auto,Personal L1,Offer1,Branch,298,Four-Door Car,Small,39.16666667,3.004626075
No,Basic,High School or Below,Employed,M,72353,Suburban,Divorced,66,27,15,0,2,Personal Auto,Personal L2,Offer2,Web,317,Two-Door Car,Small,77.5,10.60660172
No,Basic,Bachelor,Unemployed,F,0,Suburban,Single,69,35,79,0,2,Personal Auto,Personal L3,Offer1,Branch,497,Four-Door Car,Medsize,70.72916667,15.32878952
No,Premium,College,Employed,M,40105,Suburban,Divorced,104,21,26,0,3,Personal Auto,Personal L2,Offer1,Web,878,Four-Door Car,Medsize,68.75,3.307189149
Yes,Basic,Bachelor,Unemployed,M,0,Suburban,Married,65,9,31,0,2,Personal Auto,Personal L2,Offer2,Agent,312,Two-Door Car,Medsize,88.95833333,3.720952322
No,Extended,High School or Below,Employed,M,56188,Rural,Married,86,20,52,3,3,Special Auto,Special L2,Offer2,Web,176,Four-Door Car,Large,55,5.000000006
Yes,Basic,College,Employed,M,83846,Suburban,Married,74,22,94,3,2,Personal Auto,Personal L2,Offer2,Agent,355,Four-Door Car,Large,70.25,1.713913673
Yes,Extended,Bachelor,Employed,F,60021,Suburban,Married,99,12,28,0,1,Special Auto,Special L1,Offer2,Agent,883,Four-Door Car,Small,30,0.000258199
No,Extended,Bachelor,Employed,F,87421,Suburban,Married,99,21,6,0,6,Corporate Auto,Corporate L2,Offer1,Branch,475,Two-Door Car,Medsize,60,0.000218899
No,Extended,College,Medical Leave,M,10710,Suburban,Married,94,12,33,0,7,Personal Auto,Personal L2,Offer1,Branch,451,Two-Door Car,Small,58.75,3.307189148
No,Basic,Bachelor,Disabled,F,14232,Suburban,Married,64,13,1,0,5,Personal Auto,Personal L3,Offer4,Agent,307,Four-Door Car,Small,35.45833333,5.459287454
No,Basic,High School or Below,Retired,M,11721,Suburban,Divorced,102,2,56,2,2,Personal Auto,Personal L2,Offer2,Agent,561,SUV,Medsize,81.25,3.307189149
No,Extended,High School or Below,Employed,M,45310,Suburban,Married,229,28,70,0,1,Personal Auto,Personal L2,Offer3,Agent,1550,Luxury SUV,Medsize,70.41666667,7.534642222
Yes,Extended,High School or Below,Employed,F,57693,Suburban,Divorced,76,16,56,0,3,Personal Auto,Personal L1,Offer2,Agent,547,Four-Door Car,Medsize,50,0.00025
No,Basic,Doctor,Employed,M,23599,Suburban,Single,103,20,46,0,1,Corporate Auto,Corporate L3,Offer2,Agent,494,SUV,Medsize,30,0.000239357
No,Basic,Bachelor,Unemployed,F,0,Suburban,Single,103,1,51,0,3,Personal Auto,Personal L1,Offer2,Agent,494,SUV,Small,61.25,3.307189149
No,Extended,High School or Below,Unemployed,M,0,Suburban,Single,136,20,98,3,6,Personal Auto,Personal L2,Offer1,Web,979,Sports Car,Medsize,74.79166667,5.233273626
No,Basic,High School or Below,Employed,M,59839,Suburban,Single,107,8,52,2,8,Personal Auto,Personal L2,Offer2,Agent,514,SUV,Medsize,68.75,3.30718915
No,Basic,College,Employed,F,54840,Suburban,Single,72,18,59,3,2,Corporate Auto,Corporate L3,Offer1,Branch,469,Four-Door Car,Small,81.875,8.267972852
No,Basic,College,Unemployed,F,0,Suburban,Married,70,21,70,0,1,Corporate Auto,Corporate L3,Offer1,Agent,405,Four-Door Car,Medsize,10,0.000295804
No,Basic,Master,Unemployed,M,0,Urban,Single,64,35,59,0,1,Corporate Auto,Corporate L3,Offer3,Agent,286,Four-Door Car,Medsize,10,0.000270031
No,Basic,High School or Below,Unemployed,M,0,Suburban,Single,103,29,58,0,3,Corporate Auto,Corporate L2,Offer3,Call Center,742,Sports Car,Small,60,0.000229129
Yes,Basic,High School or Below,Employed,M,95697,Rural,Married,61,16,55,0,1,Corporate Auto,Corporate L3,Offer2,Agent,114,Two-Door Car,Medsize,10,0.000292261
No,Basic,Bachelor,Medical Leave,F,26304,Suburban,Single,63,22,93,0,1,Personal Auto,Personal L3,Offer1,Call Center,302,Four-Door Car,Medsize,10,0.000274621
No,Basic,Bachelor,Medical Leave,M,10269,Urban,Single,65,12,5,0,3,Personal Auto,Personal L1,Offer1,Agent,171,Two-Door Car,Medsize,32.08333333,4.228704826
No,Extended,College,Medical Leave,M,23748,Suburban,Married,99,0,24,0,2,Personal Auto,Personal L2,Offer2,Agent,607,Four-Door Car,Large,83.75,4.841229192
